11000,Jon,Yang,2020-01-19,Jon Yang,Male,Rockhampton
11001,Eugene,Huang,2020-01-15,Eugene Huang,Male,Seaford
11002,Ruben,Torres,2020-01-07,Ruben Torres,Male,Hobart
11003,Christy,Zhu,2019-12-29,Christy Zhu,Female,North Ryde
11004,Elizabeth,Johnson,2020-01-23,Elizabeth Johnson,Female,Wollongong
11005,Julio,Ruiz,2019-12-30,Julio Ruiz,Male,East Brisbane
11006,Janet,Alvarez,2020-01-24,Janet Alvarez,Female,Matraville
11007,Marco,Mehta,2020-01-09,Marco Mehta,Male,Warrnambool
11008,Rob,Verhoff,2020-01-25,Rob Verhoff,Female,Bendigo
11009,Shannon,Carlson,2020-01-27,Shannon Carlson,Male,Hervey Bay
11010,Jacquelyn,Suarez,2020-01-14,Jacquelyn Suarez,Female,East Brisbane
11011,Curtis,Lu,2019-12-30,Curtis Lu,Male,East Brisbane
11012,Lauren,Walker,2022-03-16,Lauren Walker,Female,Bremerton
11013,Ian,Jenkins,2022-04-13,Ian Jenkins,Male,Lebanon
11014,Sydney,Bennett,2022-03-23,Sydney Bennett,Female,Redmond
11015,Chloe,Young,2022-01-18,Chloe Young,Female,Burbank
11016,Wyatt,Hill,2022-02-09,Wyatt Hill,Male,Imperial Beach
11017,Shannon,Wang,2020-01-12,Shannon Wang,Female,Sunbury
11018,Clarence,Rai,2020-01-17,Clarence Rai,Male,Bendigo
11019,Luke,Lal,2022-02-12,Luke Lal,Male,Langley
11020,Jordan,King,2021-12-29,Jordan King,Male,Metchosin
11021,Destiny,Wilson,2022-01-23,Destiny Wilson,Female,Beaverton
11022,Ethan,Zhang,2022-01-20,Ethan Zhang,Male,Bellingham
11023,Seth,Edwards,2022-02-17,Seth Edwards,Male,Bellflower
11024,Russell,Xie,2022-06-27,Russell Xie,Male,Concord
11025,Alejandro,Beck,2020-01-06,Alejandro Beck,Male,Hawthorne
11026,Harold,Sai,2020-01-23,Harold Sai,Male,Goulburn
11027,Jessie,Zhao,2020-01-16,Jessie Zhao,Male,Warrnambool
11028,Jill,Jimenez,2020-01-26,Jill Jimenez,Female,St. Leonards
11029,Jimmy,Moreno,2020-01-19,Jimmy Moreno,Male,Bendigo
